Symbol,Type,Entry Time,Exit Time,Entry Price,Exit Price,Offset,Size,PnL,Commission,Funding,Reason
STOUSDT,LONG,"2/20/2026, 6:30:00 PM","2/20/2026, 7:40:00 PM",0.05589,0.055240000000000004,0.0001,715,-0.46475,0.03972897,0,"Signal Reversal (Preemptive)"
STOUSDT,LONG,"2/20/2026, 6:05:00 PM","2/20/2026, 6:30:00 PM",0.0556687465181,0.0558915,0.0001,718,0.13585894180419872,0.0440631382,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 5:55:00 PM","2/20/2026, 6:05:00 PM",0.05566,0.05574,0.0001,719,0.03347376399999766,0.044056005999999995,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 5:45:00 PM","2/20/2026, 5:50:00 PM",0.0554382328482,0.0555931,0.0001,1443,0.1753407940673988,0.06812095598,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 5:15:00 PM","2/20/2026, 5:45:00 PM",0.0547822633745,0.055435514403292176,0.0001,729,-0.47621998,0.04017437,0,"Signal Reversal (Preemptive)"
STOUSDT,SHORT,"2/20/2026, 4:40:00 PM","2/20/2026, 5:15:00 PM",0.0549143269231,0.0548252,0.0001,728,0.040936752656800794,0.04393645736,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 4:10:00 PM","2/20/2026, 4:40:00 PM",0.0554647503468,0.05492531206657421,0.0001,1442,-0.77786999,0.05959808,0,"Signal Reversal"
STOUSDT,SHORT,"2/20/2026, 4:00:00 PM","2/20/2026, 4:10:00 PM",0.05531,0.05544,0.0001,723,-0.09399,0.04003612,0.00200643,"Signal Reversal (Preemptive)"
STOUSDT,SHORT,"2/20/2026, 3:45:00 PM","2/20/2026, 4:00:00 PM",0.05513,0.0552771,0.0001,725,-0.13069303850000302,0.0440301585,0.00200643,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 3:35:00 PM","2/20/2026, 3:40:00 PM",0.054915,0.0547359,0.0001,1456,0.21295231776000217,0.06780452223999998,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 3:25:00 PM","2/20/2026, 3:35:00 PM",0.05549,0.054920000000000004,0.0001,721,-0.41097,0.0398028,0,"Signal Reversal (Preemptive)"
STOUSDT,LONG,"2/20/2026, 3:00:00 PM","2/20/2026, 3:25:00 PM",0.0552060551724,0.05536,0.0001,725,0.08752840000999897,0.044093789999999994,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 2:40:00 PM","2/20/2026, 3:00:00 PM",0.05487,0.0551834,0.0001,728,0.20405109087999884,0.044076789119999994,0,"Trailing Stop"
STOUSDT,LONG,"2/20/2026, 2:30:00 PM","2/20/2026, 2:35:00 PM",0.0548877266483,0.0549912,0.0001,1456,0.10261688775519312,0.06801861231999999,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 2:15:00 PM","2/20/2026, 2:30:00 PM",0.054358585034,0.05494,0.0001,1470,-0.85467999,0.0603582,0,"Signal Reversal (Preemptive)"
STOUSDT,LONG,"2/20/2026, 2:00:00 PM","2/20/2026, 2:15:00 PM",0.05497,0.054367276478679505,0.0001,727,-0.43818,0.03974408,0,"Signal Reversal (Preemptive)"
STOUSDT,LONG,"2/20/2026, 1:50:00 PM","2/20/2026, 2:00:00 PM",0.054775,0.0548342,0.0001,1460,0.038397240800003375,0.06802945919999999,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:35:00 PM","2/20/2026, 1:50:00 PM",0.0542226322931,0.054759999999999996,0.0001,737,-0.39603999,0.0401601,0,"Signal Reversal (Preemptive)"
STOUSDT,SHORT,"2/20/2026, 1:30:00 PM","2/20/2026, 1:35:00 PM",0.05444,0.05443,0.0001,734,-0.01663097199999775,0.043950452,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:25:00 PM","2/20/2026, 1:30:00 PM",0.05493,0.0545628,0.0001,727,0.2431541066399986,0.04376734336,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:15:00 PM","2/20/2026, 1:25:00 PM",0.05469,0.05463,0.0001,731,0.01989928200000329,0.043949907999999996,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:10:00 PM","2/20/2026, 1:15:00 PM",0.0546719699042,0.05463,0.0001,731,0.006719281970201763,0.043943317999999995,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:00:00 PM","2/20/2026, 1:10:00 PM",0.0549,0.05471,0.0001,728,0.1144226719999969,0.043880928,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 11:35:00 AM","2/20/2026, 1:00:00 PM",0.0549491758242,0.05489,0.0001,728,0.019104048017601093,0.043977442000000005,0.00200029,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 11:15:00 AM","2/20/2026, 11:35:00 AM",0.05506,0.05494,0.0001,726,0.06318813599999645,0.04391864399999999,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:55:00 AM","2/20/2026, 11:15:00 AM",0.05519,0.0550813,0.0001,724,0.054771483280002344,0.043906076720000006,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:35:00 AM","2/20/2026, 10:55:00 AM",0.0552926279391,0.0551,0.0001,723,0.11536761996929995,0.04389066,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:30:00 AM","2/20/2026, 10:35:00 AM",0.05586,0.0558078,0.0001,715,0.013381453800001608,0.0439114962,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:15:00 AM","2/20/2026, 10:30:00 AM",0.05599,0.05589,0.0001,714,0.04745672399999709,0.043931706,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:05:00 AM","2/20/2026, 10:15:00 AM",0.0568,0.05639,0.0001,704,0.26482086400000043,0.043812736,0,"Trailing Stop"